,Unnamed: 0,Unnamed: 0.1,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_id,release_date
18,18,18,Drake,Toosie Slide,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,1,-9.75,0,0.201,6.15e-06,0.114,0.837,81.618,247059,4,spotify:album:3xIwVbGJuAcovYIhzbLO3J,2020-04-03
19,19,19,Live Lounge Allstars,Times Like These (BBC Radio 1 Stay Home Live Lounge),Times Like These - BBC Radio 1 Stay Home Live Lounge,4mOhgByssJQ5AdFaliWyEc,0.64,0.591,4,-5.097,0,0.0274,0.0,0.1,0.369,120.001,256000,4,spotify:album:3h2xv1tJgDnJZGy5Roxs5A,2020-04-23
20,20,20,Michael Ball,You'll Never Walk Alone,You'll Never Walk Alone,5pdawBUyhdNkWhSoaDZivf,0.265,0.48,0,-12.574,1,0.0427,0.00118,0.0911,0.213,81.611,250009,3,spotify:album:66xP0vUo8to8ALVpkyKc41,2020-03-20
21,21,21,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,8,-5.484,1,0.0495,0.0107,0.353,0.898,121.975,176840,4,spotify:album:6XcYTEonLIpg9NpAbJnqrC,2019-09-13
22,22,22,Billie Eilish,No Time To Die,No Time To Die,73SpzrcaHk0RQPFP73vqVR,0.38,0.219,4,-13.273,0,0.0358,0.0104,0.0827,0.0517,73.537,242265,4,spotify:album:5sXSHscDjBez8VF20cSyad,2020-02-13
23,23,23,The Weeknd,Blinding Lights,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.000209,0.0938,0.345,171.017,201573,4,spotify:album:6pQZPa398NswBXGYyqHH7y,2021-09-17
24,24,24,Lewis Capaldi,Before You Go,Before You Go,7ce20yLkzuXXLUhzIDoZih,0.459,0.575,3,-4.858,1,0.0573,0.0,0.0885,0.183,111.881,215107,4,spotify:album:0488X5veBK6t3vSmIiTDJY,2019-11-19
25,25,25,Eminem,Music To Be Murdered By,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,10,-5.26,0,0.342,0.0,0.292,0.829,165.995,210800,4,spotify:album:4otkd9As6YaxxEkIjXPiZ6,2020-01-17
26,26,26,Stormzy,Heavy Is The Head,Own It (feat. Ed Sheeran & Burna Boy),4QPEwDdOMhY7rNS05mTyMR,0.817,0.781,7,-4.178,0,0.112,5.21e-06,0.123,0.359,104.0,216707,4,spotify:album:3y4AaloFccKNLQcZNS9L8c,2019-12-13
27,27,27,LadBaby,I Love Sausage Rolls,I Love Sausage Rolls,3pqcWAoJ8pw2rCNjFsiJ44,0.687,0.616,4,-6.694,0,0.114,0.0,0.337,0.526,93.967,203617,4,spotify:album:70zw5DlTkTwYNLHtZKiU06,2019-12-13
28,28,28,Tones And I,The Kids Are Coming,Dance Monkey,5ZULALImTm80tzUbYQYM9d,0.824,0.588,6,-6.4,0,0.0924,0.000104,0.149,0.513,98.027,209438,4,spotify:album:2pJXQvY0YeDvVJ9gMU9G7j,2019-08-29
29,29,29,Ed Sheeran,No.6 Collaborations Project,Take Me Back to London (feat. Stormzy),3ERZA2UXA1cD5WAELjSpa6,0.885,0.762,8,-5.513,0,0.216,0.0,0.162,0.605,138.059,189733,4,spotify:album:3oIFxDIo2fwuk4lwCmFZCx,2019-07-12
30,30,30,Ed Sheeran,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,0.64,0.648,5,-8.113,0,0.187,0.0,0.0802,0.548,92.977,197867,4,spotify:album:3E12WU80fDMyu7GyIAx7wJ,2019-06-28
31,31,31,Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4,spotify:album:2ZaX1FdZCwchXl1QZiD4O4,2019-06-21
32,32,32,Ed Sheeran,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0442,0.0,0.0894,0.842,101.956,219947,4,spotify:album:5Nux7ozBJ5KJ02QYWwrneR,2019-05-10
33,33,33,Stormzy,Vossi Bop,Vossi Bop,44ZJ4hLD5onikKsVLQaILr,0.682,0.653,8,-6.062,1,0.339,0.00116,0.129,0.428,188.115,196267,4,spotify:album:1feZ7dUgDquoQRddxlI5BH,2019-04-26
34,34,34,Lil Nas X,Old Town Road,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,0.878,0.619,6,-5.56,1,0.102,0.0,0.113,0.639,136.041,157067,4,spotify:album:4BAx7hzmBgjaGxs62oWcBn,2019-05-31
35,35,35,Lewis Capaldi,Breach,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.0319,0.0,0.105,0.446,109.891,182161,4,spotify:album:0NVQ9k3wKmuK6T02lLMl6y,2018-11-08
36,36,36,Ariana Grande,"thank u, next","break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,5,-5.29,0,0.0917,0.0,0.106,0.335,169.999,190440,4,spotify:album:2fYhqwDWXjbpjaIJPEfKFw,2019-02-08
37,37,37,Ariana Grande,7 rings,7 rings,14msK75pk3pA33pzPVNtBF,0.725,0.321,1,-10.744,0,0.323,0.0,0.0884,0.319,70.142,178640,4,spotify:album:6FK2NjcZxGIGmFjKfOkrNi,2019-02-01
38,38,38,Ava Max,Sweet but Psycho,Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.719,0.704,1,-4.724,1,0.0476,0.0,0.166,0.628,133.002,187436,4,spotify:album:5wYR3in9srVuVeDajc7KeL,2019-03-04
39,39,39,LadBaby,We Built This City,We Built This City,0UZkN083oH7wdTRV7S6PiT,0.689,0.886,5,-4.276,1,0.0722,0.0,0.565,0.921,141.933,260160,4,spotify:album:76Xeg41I9wax63b8UteM4T,2014-04-19
40,40,40,Ariana Grande,"thank u, next","thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.724,0.647,1,-5.642,1,0.0658,0.0,0.102,0.435,106.96,207333,4,spotify:album:2fYhqwDWXjbpjaIJPEfKFw,2019-02-08
41,41,41,Lady Gaga,A Star Is Born Soundtrack,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.0,0.231,0.323,95.799,215733,4,spotify:album:4sLtOBOzn4s3GDUv3c5oJD,2018-10-05
42,42,42,Dave,Funky Friday,Funky Friday,01IQ4aQgOf0Kkq3a273hmO,0.975,0.535,1,-7.227,1,0.196,0.0,0.107,0.671,125.066,182741,4,spotify:album:3CFVTstiXfXZDHF6EeMnGf,2018-10-04
43,43,43,Calvin Harris,Promises (with Sam Smith),Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,4.91e-06,0.325,0.486,123.07,213309,4,spotify:album:2tpWgbBdzjkaJVJzR4T8y1,2018-08-17
44,44,44,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,6,-7.648,0,0.321,0.0,0.116,0.319,89.391,173800,4,spotify:album:7pkLXlFdpQDfmHujT2AbBK,2018-07-12
45,45,45,Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1,-5.833,1,0.125,6e-05,0.396,0.35,91.03,217925,4,spotify:album:1ATL5GLyefJaxhQzSPVrLX,2018-06-29
46,46,46,George Ezra,Staying at Tamara's,Shotgun,4ofwffwvvnbSkrMSCKQDaC,0.673,0.735,5,-4.733,1,0.0457,0.0,0.242,0.754,115.744,201287,4,spotify:album:2NaulYO6lGXTyIzWTJvRJj,2018-03-23
47,47,47,Clean Bandit,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,6.66e-05,0.35,0.565,105.005,222653,4,spotify:album:1q7a5wZeti0neU2jDn8Dz3,2018-05-17
48,48,48,Jess Glynne,I'll Be There,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,0.623,0.851,7,-3.111,1,0.0409,0.0,0.12,0.4,100.063,193924,4,spotify:album:7o6j8wph7fvEcAL67jLVGN,2018-05-03
49,49,49,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19e-05,0.0814,0.592,123.994,214847,4,spotify:album:7GEzhoTiqcPYkOprWQu581,2018-04-06
50,50,50,Drake,Nice For What,Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,0.567,0.913,8,-6.471,1,0.0736,0.000124,0.114,0.792,93.35,210926,4,spotify:album:1QxYCG77OAqwAnr4WrZR5v,2018-04-08
51,51,51,Lil Dicky,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0.0,0.109,0.755,133.123,216632,4,spotify:album:1XbNDGybI1iPfeQNJEeUdn,2018-03-15
52,52,52,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0.0,0.165,0.55,92.213,210773,4,spotify:album:2sjjFDjZSCYD5eBCsi0fDW,2018-01-19
53,53,53,Drake,Scary Hours,God's Plan,6T8cJz5lAqGer9GUHGyelE,0.755,0.448,7,-9.587,1,0.107,3.28e-05,0.514,0.318,77.179,198960,4,spotify:album:5LuoozUhs2pl3glZeAJl89,2021-03-05
54,54,54,Eminem,Revival,River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,0.757,0.748,8,-5.794,0,0.473,0.0,0.0759,0.693,90.052,221013,4,spotify:album:7lDBDk8OQarV5dBMu3qrdz,2015-10-09
55,55,55,Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.0,0.106,0.168,95.05,263400,3,spotify:album:3T4tUhGYeRNVUGevb0wThu,2017-03-03
56,56,56,Camila Cabello,Havana (feat. Young Thug),Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb,0.768,0.517,7,-4.323,0,0.0312,3.8e-05,0.104,0.418,104.992,216897,4,spotify:album:7KR5zQd7ZFGaR1pM5Zh9Z7,2017-12-26
57,57,57,Post Malone,rockstar,rockstar,29lFEhiASt32nnalcUDMGi,0.591,0.515,5,-6.692,0,0.098,0.00042,0.142,0.139,159.715,218480,4,spotify:album:19C3hX64lG3BikzOfwmUm6,2020-08-21
58,58,58,Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5,-8.237,1,0.0432,0.0,0.169,0.476,91.873,201000,4,spotify:album:3XftSbguntyRTBQaGItmfK,2017-11-03
59,59,59,Taylor Swift,Look What You Made Me Do,Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,0.773,0.68,9,-6.378,0,0.141,1.57e-05,0.122,0.497,128.062,211859,4,spotify:album:7H6AaQpZCOlgGclco89flS,2017-09-12
60,60,60,Dua Lipa,Dua Lipa (Deluxe),New Rules,4LihUZcWy0B6lGLqcJ8u9B,0.763,0.72,9,-5.181,0,0.0691,1.11e-05,0.114,0.592,116.01,212000,4,spotify:album:01sfgrNbnnPUEyz6GZYlt9,2017-06-02
61,61,61,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",6BaCraQ9xeLYg4Sb9TBT2X,0.893,0.745,11,-3.105,0,0.0571,0.0,0.0943,0.872,101.018,223413,4,spotify:album:52LQhrLLYOup9HhaOsv54e,2017-06-16
62,62,62,DJ Khaled,Grateful,Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,0.671,0.672,0,-3.094,0,0.0688,0.0,0.118,0.632,97.979,204173,4,spotify:album:3HhZbSJdhOqMSaRbEt3gtw,2017-06-22
63,63,63,Artists for Grenfell,Bridge Over Troubled Water,Bridge Over Troubled Water,5y9VR6oWTFjtprI6Zia6aB,0.484,0.312,2,-7.836,1,0.0398,0.0,0.132,0.0789,119.428,233393,4,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,1970-01-26
64,64,64,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,0.694,0.815,2,-4.328,1,0.12,0.0,0.0924,0.813,88.931,228827,4,spotify:album:3Gq2Dme9nesdgoqNNlcN8O,2017-04-17
65,65,65,DJ Khaled,I'm the One,I'm the One,72Q0FQQo32KJloivv5xge2,0.599,0.667,7,-4.267,1,0.0367,0.0,0.134,0.817,80.984,288877,4,spotify:album:4nYsnQpTAQaPzrPc6rOsBN,2005-01-15
66,66,66,Clean Bandit,Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,0,-4.581,0,0.0563,1.6e-05,0.138,0.457,122.863,212459,4,spotify:album:4b13SJlne61y53KSEwuQtD,2017-03-16
67,67,67,Harry Styles,Sign of the Times,Sign of the Times,5ELRkzdzz0HvGpMDlfZHkV,0.518,0.575,5,-4.616,1,0.0302,0.0,0.109,0.209,120.019,340707,4,spotify:album:6YDkzHVTEzMXZOVd1r5NqR,2017-04-07
68,68,68,Ed Sheeran,Shape of You,Shape of You,0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,1,-3.183,0,0.0802,0.0,0.0931,0.931,95.977,233713,4,spotify:album:7oJa8bPFKVbq4c7NswXHw8,2017-01-06
69,69,69,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.0,0.18,0.742,101.965,251088,4,spotify:album:3meZFplbMmji648oWUNEfQ,2016-10-21
70,70,70,Little Mix,Shout Out to My Ex,Shout Out to My Ex,6wZ8kvKP9d1MKlNFTMZrBK,0.774,0.739,0,-4.022,1,0.0952,5.95e-06,0.119,0.823,126.002,246240,4,spotify:album:4VQLtVkOacfxB825SH03FO,2017-04-28
71,71,71,James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,211467,4,spotify:album:7oiJYvEJHsmYtrgviAVIBD,2016-10-28
72,72,72,The Chainsmokers,Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.0,0.111,0.661,95.01,244960,4,spotify:album:0rSLgV8p5FzfnqlEk4GzxE,2016-07-29
73,73,73,Major Lazer,Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,0.608,0.798,6,-5.092,0,0.0432,0.0,0.156,0.501,92.943,185352,4,spotify:album:4ThQpgg5LIKYlZEyveKjMP,2016-08-10
74,74,74,Drake,One Dance,One Dance,0JoaFxLgrqbWutREzcZBzS,0.771,0.629,1,-5.79,1,0.0511,0.00252,0.356,0.362,103.918,173975,4,spotify:album:6YfGgOaUnhs0A9brMqjpHf,2020-09-07
75,75,75,Mike Posner,"At Night, Alone.",I Took A Pill In Ibiza,42HkkKHSO1PoBAshifSOlr,0.674,0.329,10,-10.096,1,0.0565,0.0,0.142,0.396,147.89,280800,4,spotify:album:1Tz3Ai1guEFf4hV3d9i17K,2016-05-06
76,76,76,Lukas Graham,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10,-5.829,1,0.0514,0.0,0.391,0.34,119.992,237300,4,spotify:album:4rFrdkSWs0dtj0rWPzOk1v,2016-04-01
77,77,77,ZAYN,PILLOWTALK,PILLOWTALK,0IKK48xF4eEdfofyaeKWWO,0.588,0.702,11,-4.271,1,0.0496,0.0,0.089,0.429,124.909,203686,4,spotify:album:164PEnPWFaLlRc5zqKKB4r,2016-02-25
78,78,78,Shawn Mendes,Handwritten (Deluxe),Stitches,1WP1r7fuvRqZRnUaTi2I1Q,0.746,0.754,1,-6.681,1,0.067,0.0,0.0486,0.764,149.882,206880,4,spotify:album:5Jov5724Nz13A302HM2eKG,2015-04-14
79,79,79,The Lewisham and Greenwich NHS Choir,A Bridge Over You,A Bridge Over You - (Radio Edit),12yATxj1ppXs8quI0Dn63D,0.177,0.31,3,-9.494,1,0.0273,9.11e-05,0.125,0.248,83.12,250116,4,spotify:album:5qM9yqekgNcD3mQlNEp1vP,2013-12-09
80,80,80,Justin Bieber,Purpose (Deluxe),Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,0.609,0.378,4,-9.828,1,0.438,0.0,0.28,0.515,100.418,233720,4,spotify:album:6Fr2rQkZ383FcMqFyT7yPr,2015-11-13
81,81,81,Justin Bieber,Purpose (Deluxe),Sorry,69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0,-3.669,0,0.045,0.0,0.299,0.41,99.945,200787,4,spotify:album:6Fr2rQkZ383FcMqFyT7yPr,2015-11-13
82,82,82,Adele,Hello,Hello,1MDoll6jK4rrk2BcFRP5i7,0.471,0.431,5,-6.129,0,0.0342,0.0,0.0854,0.289,157.98,295502,4,spotify:album:114sumrk5wTeMWHVin86QC,2012-01-01
83,83,83,KDA,Turn The Music Louder (Rumble) [Radio Edit],Turn The Music Louder (Rumble) - Radio Edit,6fPKKB6urCEXl4s7lCd2hF,0.766,0.786,5,-5.797,0,0.0828,0.0,0.0765,0.667,122.984,201455,4,spotify:album:0l0Nvv67JiFWokCBNtVve7,2015-09-30
84,84,84,Sam Smith,Writing's On The Wall,Writing's On The Wall,4oWmroatZtMmlgc3havMrv,0.372,0.305,5,-8.189,0,0.0289,1.9e-06,0.0908,0.088,86.743,278987,3,spotify:album:283NWqNsCA9GwVHrJk59CG,1999-07-27
85,85,85,Sigala,Easy Love,Easy Love,42zLyJxoTWBGAu6481ALWL,0.688,0.889,9,-4.311,1,0.0571,0.000397,0.0964,0.573,124.04,227024,4,spotify:album:5YquW9ARyZEROJWm97RVYy,2019-08-08
86,86,86,Justin Bieber,Purpose (Deluxe),What Do You Mean?,3pzjHKrQSvXGHQ98dx18HI,0.845,0.567,5,-8.118,0,0.0956,0.00142,0.0811,0.793,125.02,205680,4,spotify:album:6Fr2rQkZ383FcMqFyT7yPr,2015-11-13
87,87,87,Rachel Platten,Fight Song - EP,Fight Song,6bRbeEgg8v8BQ0HuVuPE7v,0.639,0.707,7,-5.062,1,0.0739,0.0,0.176,0.352,87.944,204067,4,-,-
88,88,88,Jess Glynne,I Cry When I Laugh,Don't Be so Hard on Yourself,1KtVVUM6OkpyOsbVfbMybX,0.571,0.815,6,-3.267,1,0.0321,0.0,0.163,0.664,120.008,211460,4,spotify:album:6AGmGousDdMGevlVZO04LO,2015
89,89,89,Charlie Puth,Nine Track Mind,Marvin Gaye (feat. Meghan Trainor),3rKYiySCDMUKTw5kGVVhaa,0.795,0.616,1,-5.281,0,0.06,0.0,0.349,0.815,110.015,190453,4,spotify:album:3kndSWeE2IYOrZEToZrHEV,2016-01-29
90,90,90,One Direction,Made In The A.M. (Deluxe Edition),Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.0,0.0657,0.595,138.113,192120,4,spotify:album:1gMxiQQSg5zeu4htBosASY,2015-11-13
91,91,91,Little Mix,Get Weird (Deluxe),Black Magic,5y6pj7OeBFF0CVgZKhRbOG,0.777,0.896,4,-4.467,1,0.0619,0.0,0.317,0.843,111.987,211773,4,-,-
92,92,92,David Zowie,House Every Weekend (Radio Edit),House Every Weekend - Radio Edit,2rWisQk9hxSap9ZtTx45sv,0.791,0.574,0,-7.061,0,0.0673,0.0,0.102,0.406,122.053,182767,4,spotify:album:5FSxkcp05SDo2W1iXMyyWN,2015-11-05
93,93,93,Lost Frequencies,Are You With Me (Radio Edit),Are You With Me - Radio Edit,0uP43OVpCAni4r4TPJDloZ,0.776,0.574,5,-9.882,0,0.0317,7.83e-05,0.131,0.412,121.03,138843,4,spotify:album:4uFYMJ9MQjYFzIjlcBs1OG,2015-05-15
94,94,94,Tinie Tempah,Not Letting Go (feat. Jess Glynne),Not Letting Go (feat. Jess Glynne),01wuIn1TP5FCvYyqBTdsGC,0.772,0.858,8,-3.565,1,0.127,0.0,0.154,0.51,101.978,228961,4,spotify:album:2MkeaTEY5NPdIyFp8cQt63,2015-06-19
95,95,95,Jason Derulo,Want to Want Me,Want to Want Me,0HFx7PLqzGxSfN59j3UHmR,0.775,0.68,0,-5.508,0,0.0629,0.0,0.109,0.656,114.025,207719,4,spotify:album:3etGOKJq6tAB2IrCZrTdPI,2017-11-12
96,96,96,OMI,Cheerleader (Felix Jaehn Remix Radio Edit),Cheerleader (Felix Jaehn Remix) - Radio Edit,6fQcqEcXfnY0L6VwS0c3gT,0.827,0.576,4,-7.774,1,0.0372,0.029,0.0656,0.41,118.04,180021,4,spotify:album:3CDIhRuL5iaenmrd95W3Ym,2015-03-06
97,97,97,Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),7wqSzGeodspE3V6RBD5W8L,0.689,0.481,10,-7.503,1,0.0815,1.03e-06,0.0649,0.283,80.025,229526,4,spotify:album:5FXIqS1XqbpfOKNoi5VUwS,2015
98,98,98,Jess Glynne,I Cry When I Laugh,Hold My Hand,58jx3tTuDuzHysC77c0AQd,0.642,0.823,0,-5.717,1,0.0289,0.0,0.0776,0.431,122.977,227344,4,spotify:album:6AGmGousDdMGevlVZO04LO,2015
99,99,99,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),Lay Me Down,7E7sAg5qPv0cObXCWRsYMJ,0.468,0.205,4,-11.014,1,0.0412,0.0,0.107,0.325,125.343,219536,4,spotify:album:0vrWqbRQEMKqhTGcDLQK7x,2015-11-06
100,100,100,Years & Years,Communion (Deluxe),King,4SNtBMJa7Wpk1tJzMSUv9B,0.56,0.845,4,-4.12,0,0.0375,0.0,0.382,0.495,119.996,215360,4,spotify:album:09mWpzpUOSjjvK2iNqEIYn,2015-06-22
